,SubjectID,AssignmentID,Assignment_Score
0,Student11,Assign6,70.0
1,Student23,Assign6,100.0
2,Student21,Assign6,90.0
3,Student17,Assign6,89.0
4,Student7,Assign6,100.0
5,Student29,Assign6,100.0
6,Student30,Assign6,95.0
7,Student10,Assign6,95.0
8,Student24,Assign6,0.0
9,Student15,Assign6,93.0
10,Student41,Assign6,3.0
11,Student42,Assign6,84.0
12,Student25,Assign6,32.0
13,Student39,Assign6,95.0
14,Student36,Assign6,89.0
15,Student22,Assign6,93.0
16,Student40,Assign6,100.0
17,Student6,Assign6,25.0
18,Student33,Assign6,88.0
19,Student1,Assign6,99.0
20,Student28,Assign6,73.0
21,Student38,Assign6,85.0
22,Student16,Assign6,90.0
23,Student12,Assign6,79.0
24,Student19,Assign6,95.0
25,Student3,Assign6,48.0
26,Student2,Assign6,33.0
27,Student37,Assign6,70.0
28,Student32,Assign6,63.0
29,Student34,Assign6,90.0
30,Student9,Assign6,47.0
31,Student18,Assign6,0.0
32,Student31,Assign6,45.0
33,Student13,Assign6,73.0
34,Student43,Assign6,95.0
35,Student27,Assign6,66.0
36,Student8,Assign6,93.0
37,Student5,Assign6,60.0
38,Student20,Assign6,-50.0
39,Student26,Assign6,78.0
40,Student44,Assign6,95.0
41,Student14,Assign6,73.38719512195122
42,Student4,Assign6,73.38719512195122
43,Student35,Assign6,73.38719512195122
44,Student11,Assign7,88.0
45,Student23,Assign7,100.0
46,Student21,Assign7,96.0
47,Student17,Assign7,96.0
48,Student7,Assign7,100.0
49,Student29,Assign7,100.0
50,Student30,Assign7,100.0
51,Student10,Assign7,100.0
52,Student24,Assign7,100.0
53,Student15,Assign7,86.0
54,Student41,Assign7,88.0
55,Student42,Assign7,8.0
56,Student25,Assign7,93.0
57,Student39,Assign7,100.0
58,Student36,Assign7,100.0
59,Student22,Assign7,100.0
60,Student40,Assign7,100.0
61,Student6,Assign7,0.0
62,Student33,Assign7,100.0
63,Student1,Assign7,99.0
64,Student28,Assign7,88.0
65,Student38,Assign7,81.0
66,Student16,Assign7,75.0
67,Student12,Assign7,87.5
68,Student19,Assign7,100.0
69,Student3,Assign7,99.0
70,Student2,Assign7,37.0
71,Student37,Assign7,100.0
72,Student32,Assign7,88.0
73,Student34,Assign7,100.0
74,Student9,Assign7,76.0
75,Student18,Assign7,89.0
76,Student31,Assign7,35.0
77,Student13,Assign7,100.0
78,Student43,Assign7,100.0
79,Student27,Assign7,90.0
80,Student8,Assign7,0.0
81,Student5,Assign7,100.0
82,Student20,Assign7,58.5
83,Student26,Assign7,89.0
84,Student44,Assign7,75.0
85,Student14,Assign7,73.38719512195122
86,Student4,Assign7,73.38719512195122
87,Student35,Assign7,73.38719512195122
88,Student11,Assign8,45.0
89,Student23,Assign8,100.0
90,Student21,Assign8,98.0
91,Student17,Assign8,100.0
92,Student7,Assign8,99.5
93,Student29,Assign8,100.0
94,Student30,Assign8,98.0
95,Student10,Assign8,100.0
96,Student24,Assign8,99.0
97,Student15,Assign8,100.0
98,Student41,Assign8,0.0
99,Student42,Assign8,92.0
100,Student25,Assign8,97.0
101,Student39,Assign8,98.0
102,Student36,Assign8,99.0
103,Student22,Assign8,99.0
104,Student40,Assign8,100.0
105,Student6,Assign8,84.0
106,Student33,Assign8,100.0
107,Student1,Assign8,100.0
108,Student28,Assign8,100.0
109,Student38,Assign8,90.0
110,Student16,Assign8,86.0
111,Student12,Assign8,96.0
112,Student19,Assign8,92.0
113,Student3,Assign8,100.0
114,Student2,Assign8,40.0
115,Student37,Assign8,90.0
116,Student32,Assign8,96.0
117,Student34,Assign8,100.0
118,Student9,Assign8,78.0
119,Student18,Assign8,95.0
120,Student31,Assign8,100.0
121,Student13,Assign8,99.0
122,Student43,Assign8,100.0
123,Student27,Assign8,94.0
124,Student8,Assign8,100.0
125,Student5,Assign8,94.0
126,Student20,Assign8,93.0
127,Student26,Assign8,98.0
128,Student44,Assign8,87.0
129,Student14,Assign8,73.38719512195122
130,Student4,Assign8,73.38719512195122
131,Student35,Assign8,73.38719512195122
132,Student11,Assign9,63.0
133,Student23,Assign9,98.0
134,Student21,Assign9,95.0
135,Student17,Assign9,94.0
136,Student7,Assign9,97.0
137,Student29,Assign9,100.0
138,Student30,Assign9,98.0
139,Student10,Assign9,85.0
140,Student24,Assign9,87.0
141,Student15,Assign9,92.0
142,Student41,Assign9,28.0
143,Student42,Assign9,89.0
144,Student25,Assign9,5.0
145,Student39,Assign9,95.0
146,Student36,Assign9,81.5
147,Student22,Assign9,98.0
148,Student40,Assign9,100.0
149,Student6,Assign9,71.0
150,Student33,Assign9,100.0
151,Student1,Assign9,100.0
152,Student28,Assign9,86.0
153,Student38,Assign9,98.0
154,Student16,Assign9,75.0
155,Student12,Assign9,95.0
156,Student19,Assign9,0.0
157,Student3,Assign9,95.0
158,Student2,Assign9,11.0
159,Student37,Assign9,92.0
160,Student32,Assign9,58.0
161,Student34,Assign9,97.0
162,Student9,Assign9,56.0
163,Student18,Assign9,96.0
164,Student31,Assign9,0.0
165,Student13,Assign9,0.0
166,Student43,Assign9,100.0
167,Student27,Assign9,96.0
168,Student8,Assign9,100.0
169,Student5,Assign9,100.0
170,Student20,Assign9,96.0
171,Student26,Assign9,100.0
172,Student44,Assign9,91.0
173,Student14,Assign9,73.38719512195122
174,Student4,Assign9,73.38719512195122
175,Student35,Assign9,73.38719512195122
176,Student11,Assign10,86.0
177,Student23,Assign10,0.0
178,Student21,Assign10,77.0
179,Student17,Assign10,91.0
180,Student7,Assign10,100.0
181,Student29,Assign10,94.0
182,Student30,Assign10,96.0
183,Student10,Assign10,88.0
184,Student24,Assign10,97.0
