,SubjectID,avg_assignment_score
0,Student11,69.625
1,Student23,72.875
2,Student21,76.125
3,Student17,82.375
4,Student7,88.4375
5,Student29,93.75
6,Student30,86.375
7,Student10,82.75
8,Student24,81.125
9,Student15,86.125
10,Student41,47.625
11,Student42,80.75
12,Student25,28.375
13,Student39,92.75
14,Student36,69.9375
15,Student22,71.25
16,Student40,87.5
17,Student6,51.375
18,Student33,86.0
19,Student1,83.0
20,Student28,82.875
21,Student38,69.0
22,Student16,85.75
23,Student12,88.6875
24,Student19,72.125
25,Student3,78.625
26,Student2,19.125
27,Student37,90.25
28,Student32,58.5
29,Student34,77.625
30,Student9,63.625
31,Student18,73.625
32,Student31,22.5
33,Student13,80.75
34,Student43,81.125
35,Student27,83.625
36,Student8,71.0
37,Student5,81.0
38,Student20,69.6875
39,Student26,90.25
40,Student44,63.5
