,Student,Assignment,Compilation_Count
0,Student1,Assign6,40
1,Student1,Assign7,31
2,Student1,Assign8,21
3,Student1,Assign9,44
4,Student1,Assign10,67
5,Student1,Assign11,0
6,Student1,Assign12,14
7,Student1,Assign13,28
8,Student2,Assign6,8
9,Student2,Assign7,12
10,Student2,Assign8,0
11,Student2,Assign9,0
12,Student2,Assign10,0
13,Student2,Assign11,1
14,Student2,Assign12,0
15,Student2,Assign13,0
16,Student3,Assign6,75
17,Student3,Assign7,112
18,Student3,Assign8,11
19,Student3,Assign9,106
20,Student3,Assign10,143
21,Student3,Assign11,102
22,Student3,Assign12,78
23,Student3,Assign13,4
24,Student4,Assign6,302
25,Student4,Assign7,0
26,Student4,Assign8,0
27,Student4,Assign9,0
28,Student4,Assign10,0
29,Student4,Assign11,0
30,Student4,Assign12,0
31,Student4,Assign13,0
32,Student5,Assign6,0
33,Student5,Assign7,0
34,Student5,Assign8,0
35,Student5,Assign9,0
36,Student5,Assign10,0
37,Student5,Assign11,0
38,Student5,Assign12,143
39,Student5,Assign13,8
40,Student6,Assign6,237
41,Student6,Assign7,0
42,Student6,Assign8,27
43,Student6,Assign9,21
44,Student6,Assign10,52
45,Student6,Assign11,13
46,Student6,Assign12,10
47,Student6,Assign13,6
48,Student7,Assign6,179
49,Student7,Assign7,101
50,Student7,Assign8,34
51,Student7,Assign9,32
52,Student7,Assign10,59
53,Student7,Assign11,17
54,Student7,Assign12,25
55,Student7,Assign13,36
56,Student8,Assign6,38
57,Student8,Assign7,69
58,Student8,Assign8,47
59,Student8,Assign9,134
60,Student8,Assign10,95
61,Student8,Assign11,67
62,Student8,Assign12,82
63,Student8,Assign13,0
64,Student9,Assign6,261
65,Student9,Assign7,364
66,Student9,Assign8,81
67,Student9,Assign9,162
68,Student9,Assign10,114
69,Student9,Assign11,108
70,Student9,Assign12,129
71,Student9,Assign13,55
72,Student10,Assign6,171
73,Student10,Assign7,89
74,Student10,Assign8,16
75,Student10,Assign9,52
76,Student10,Assign10,98
77,Student10,Assign11,39
78,Student10,Assign12,60
79,Student10,Assign13,0
80,Student11,Assign6,48
81,Student11,Assign7,0
82,Student11,Assign8,0
83,Student11,Assign9,0
84,Student11,Assign10,0
85,Student11,Assign11,0
86,Student11,Assign12,0
87,Student11,Assign13,0
88,Student12,Assign6,417
89,Student12,Assign7,361
90,Student12,Assign8,0
91,Student12,Assign9,40
92,Student12,Assign10,83
93,Student12,Assign11,0
94,Student12,Assign12,127
95,Student12,Assign13,43
96,Student13,Assign6,155
97,Student13,Assign7,0
98,Student13,Assign8,0
99,Student13,Assign9,0
100,Student13,Assign10,0
101,Student13,Assign11,0
102,Student13,Assign12,0
103,Student13,Assign13,0
104,Student14,Assign6,15
105,Student14,Assign7,0
106,Student14,Assign8,0
107,Student14,Assign9,0
108,Student14,Assign10,0
109,Student14,Assign11,0
110,Student14,Assign12,0
111,Student14,Assign13,0
112,Student15,Assign6,140
113,Student15,Assign7,92
114,Student15,Assign8,38
115,Student15,Assign9,50
116,Student15,Assign10,0
117,Student15,Assign11,0
118,Student15,Assign12,0
