,StudentID,AssignmentID,MeanTimeDifferenceSeconds
0,,,2203.476307
1,,,723.4738
2,,,161.73925
3,,,244.912255
4,,,172.734196
5,,,0.0
6,,,329.232538
7,,,303.200518
8,,,564.4
9,,,154.544454
10,,,0.0
11,,,0.0
12,,,0.0
13,,,0.0
14,,,0.0
15,,,0.0
16,,,128.630337
17,,,137.520666
18,,,280.5085
19,,,891.676342
20,,,581.347915
21,,,728.258217
22,,,838.385428
23,,,23138.57633
24,,,624.746209
25,,,0.0
26,,,0.0
27,,,0.0
28,,,0.0
29,,,0.0
30,,,0.0
31,,,0.0
32,,,0.0
33,,,0.0
34,,,0.0
35,,,0.0
36,,,0.0
37,,,0.0
38,,,6754.653507
39,,,63088.60943
40,,,39.57211
41,,,0.0
42,,,464.940307
43,,,386.9495
44,,,1296.161705
45,,,1576.909666
46,,,86.669555
47,,,23.9458
48,,,1371.991792
49,,,3499.3484
50,,,5172.156242
51,,,10978.105
52,,,1246.443482
53,,,9318.830937
54,,,10646.21154
55,,,9238.923028
56,,,892.051108
57,,,1356.81872
58,,,506.882
59,,,372.265947
60,,,225.139361
61,,,408.792303
62,,,200.575012
63,,,0.0
64,,,121.165746
65,,,299.587245
66,,,279.577912
67,,,1107.180049
68,,,968.946646
69,,,429.952738
70,,,638.986867
71,,,3309.517037
72,,,2142.915711
73,,,1143.195625
74,,,3602.412866
75,,,2588.231686
76,,,414.806608
77,,,776.748789
78,,,223.654644
79,,,0.0
80,,,2356.079638
81,,,0.0
82,,,0.0
83,,,0.0
84,,,0.0
85,,,0.0
86,,,0.0
87,,,0.0
88,,,385.903237
89,,,687.739702
90,,,0.0
91,,,5080.111025
92,,,2207.919256
93,,,0.0
94,,,1543.729
95,,,4874.749928
96,,,537.42372
97,,,0.0
98,,,0.0
99,,,0.0
100,,,0.0
101,,,0.0
102,,,0.0
103,,,0.0
104,,,43.660642
105,,,0.0
106,,,0.0
107,,,0.0
108,,,0.0
109,,,0.0
110,,,0.0
111,,,0.0
112,,,2529.185258
113,,,300.391131
114,,,9363.242972
115,,,3850.126408
116,,,0.0
117,,,0.0
118,,,0.0
119,,,0.0
120,,,4738.678899
121,,,3119.454402
122,,,0.0
123,,,4002.294661
124,,,9984.337772
125,,,6873.710081
126,,,8512.661716
127,,,4148.771033
128,,,0.0
