Student,Mean_Error,Stdev_Error,Variance_Error,Min_Error,Max_Error,Median_Error
Student1,15.0,11.1,123.14,0,34,15.0
Student10,33.88,49.84,2483.84,0,149,17.0
Student11,4.62,13.08,171.13,0,37,0.0
Student12,75.5,114.2,13041.14,0,337,31.0
Student13,17.88,50.56,2556.13,0,143,0.0
Student14,1.12,3.18,10.12,0,9,0.0
Student15,17.25,27.77,771.07,0,73,4.0
Student16,40.38,31.65,1001.98,0,94,32.0
Student17,8.5,16.25,264.0,0,43,0.0
Student18,10.62,16.15,260.84,0,44,2.5
Student19,14.75,30.87,952.79,0,90,3.0
Student2,0.62,1.19,1.41,0,3,0.0
Student20,49.5,87.13,7591.71,0,205,2.0
Student21,36.0,27.07,732.86,0,80,32.5
Student22,84.75,106.97,11442.5,0,320,34.5
Student23,72.25,73.0,5329.36,0,210,56.0
Student24,44.88,60.71,3685.55,2,179,23.0
Student25,3.12,8.84,78.12,0,25,0.0
Student26,75.0,115.43,13324.86,2,305,21.0
Student27,68.0,89.69,8045.14,0,245,30.0
Student28,43.5,45.86,2103.14,12,154,33.0
Student29,34.5,52.25,2730.29,0,132,5.5
Student3,20.5,22.55,508.57,0,56,10.0
Student30,98.25,111.22,12370.79,4,326,50.0
Student31,16.75,38.92,1515.07,0,111,0.0
Student32,26.5,55.51,3081.71,0,158,2.0
Student33,85.75,109.98,12094.79,0,335,56.5
Student34,48.5,42.59,1814.0,0,141,40.5
Student35,1.5,4.24,18.0,0,12,0.0
Student36,53.25,66.83,4465.64,2,166,17.0
Student37,22.12,47.94,2298.41,0,139,1.0
Student38,36.12,64.48,4157.84,0,191,13.0
Student39,51.62,88.74,7874.55,2,263,12.5
Student4,16.88,47.73,2278.12,0,135,0.0
Student40,56.75,61.35,3763.36,0,181,36.5
Student41,22.38,63.29,4005.12,0,179,0.0
Student42,90.5,111.98,12539.43,18,321,40.5
Student43,56.5,43.53,1894.86,19,147,40.5
Student44,18.62,15.62,243.98,0,39,18.5
Student5,9.25,23.46,550.5,0,67,0.0
Student6,26.5,69.74,4863.14,0,199,1.5
Student7,45.38,53.7,2883.41,6,168,25.5
Student8,38.25,21.86,477.64,0,69,35.0
Student9,60.25,93.54,8749.36,1,241,14.5
