StudentID,AssignmentID,Number of Lines
Student1,Assign6,35
Student1,Assign7,19
Student1,Assign8,49
Student1,Assign9,52
Student1,Assign10,73
Student1,Assign11,0
Student1,Assign12,10
Student1,Assign13,0
Student2,Assign6,12
Student2,Assign7,2
Student2,Assign8,2
Student2,Assign9,59
Student2,Assign10,0
Student2,Assign11,2
Student2,Assign12,10
Student2,Assign13,0
Student3,Assign6,25
Student3,Assign7,18
Student3,Assign8,43
Student3,Assign9,97
Student3,Assign10,0
Student3,Assign11,96
Student3,Assign12,10
Student3,Assign13,0
Student4,Assign6,0
Student4,Assign7,0
Student4,Assign8,0
Student4,Assign9,0
Student4,Assign10,0
Student4,Assign11,0
Student4,Assign12,0
Student4,Assign13,0
Student5,Assign6,0
Student5,Assign7,0
Student5,Assign8,0
Student5,Assign9,0
Student5,Assign10,0
Student5,Assign11,0
Student5,Assign12,10
Student5,Assign13,0
Student6,Assign6,5
Student6,Assign7,0
Student6,Assign8,1
Student6,Assign9,9
Student6,Assign10,0
Student6,Assign11,5
Student6,Assign12,17
Student6,Assign13,0
Student7,Assign6,32
Student7,Assign7,17
Student7,Assign8,42
Student7,Assign9,0
Student7,Assign10,0
Student7,Assign11,0
Student7,Assign12,10
Student7,Assign13,0
Student8,Assign6,35
Student8,Assign7,19
Student8,Assign8,44
Student8,Assign9,95
Student8,Assign10,73
Student8,Assign11,103
Student8,Assign12,10
Student8,Assign13,0
Student9,Assign6,18
Student9,Assign7,32
Student9,Assign8,46
Student9,Assign9,271
Student9,Assign10,73
Student9,Assign11,120
Student9,Assign12,10
Student9,Assign13,0
Student10,Assign6,24
Student10,Assign7,17
Student10,Assign8,43
Student10,Assign9,0
Student10,Assign10,0
Student10,Assign11,0
Student10,Assign12,0
Student10,Assign13,0
Student11,Assign6,0
Student11,Assign7,0
Student11,Assign8,0
Student11,Assign9,0
Student11,Assign10,0
Student11,Assign11,0
Student11,Assign12,0
Student11,Assign13,0
Student12,Assign6,0
Student12,Assign7,0
Student12,Assign8,0
Student12,Assign9,99
Student12,Assign10,73
Student12,Assign11,0
Student12,Assign12,10
Student12,Assign13,0
Student13,Assign6,4
Student13,Assign7,0
Student13,Assign8,0
Student13,Assign9,0
Student13,Assign10,0
Student13,Assign11,0
Student13,Assign12,0
Student13,Assign13,0
Student14,Assign6,0
Student14,Assign7,0
Student14,Assign8,0
Student14,Assign9,0
Student14,Assign10,0
Student14,Assign11,0
Student14,Assign12,0
Student14,Assign13,0
Student15,Assign6,0
Student15,Assign7,0
Student15,Assign8,0
Student15,Assign9,99
Student15,Assign10,0
Student15,Assign11,0
Student15,Assign12,0
Student15,Assign13,0
Student16,Assign6,0
Student16,Assign7,20
Student16,Assign8,75
Student16,Assign9,0
Student16,Assign10,71
Student16,Assign11,0
Student16,Assign12,19
Student16,Assign13,0
Student17,Assign6,0
Student17,Assign7,23
Student17,Assign8,45
Student17,Assign9,0
Student17,Assign10,0
Student17,Assign11,0
Student17,Assign12,0
Student17,Assign13,0
Student18,Assign6,0
Student18,Assign7,16
Student18,Assign8,0
Student18,Assign9,0
Student18,Assign10,0
Student18,Assign11,96
Student18,Assign12,0
Student18,Assign13,0
Student19,Assign6,1
Student19,Assign7,18
Student19,Assign8,50
Student19,Assign9,0
Student19,Assign10,73
Student19,Assign11,100
Student19,Assign12,10
Student19,Assign13,0
Student20,Assign6,0
Student20,Assign7,30
Student20,Assign8,31
Student20,Assign9,0
Student20,Assign10,0
Student20,Assign11,95
Student20,Assign12,0
Student20,Assign13,0
Student21,Assign6,24
Student21,Assign7,16
Student21,Assign8,0
Student21,Assign9,128
Student21,Assign10,73
Student21,Assign11,0
Student21,Assign12,10
Student21,Assign13,0
Student22,Assign6,42
Student22,Assign7,21
Student22,Assign8,45
Student22,Assign9,97
Student22,Assign10,0
Student22,Assign11,116
Student22,Assign12,10
Student22,Assign13,0
Student23,Assign6,25
Student23,Assign7,24
Student23,Assign8,47
Student23,Assign9,120
Student23,Assign10,0
Student23,Assign11,103
Student23,Assign12,10
Student23,Assign13,0
Student24,Assign6,36
Student24,Assign7,18
Student24,Assign8,88
Student24,Assign9,0
Student24,Assign10,0
Student24,Assign11,0
Student24,Assign12,36
Student24,Assign13,0
Student25,Assign6,12
Student25,Assign7,0
Student25,Assign8,0
Student25,Assign9,0
Student25,Assign10,0
Student25,Assign11,0
Student25,Assign12,0
Student25,Assign13,0
Student26,Assign6,32
Student26,Assign7,16
Student26,Assign8,47
Student26,Assign9,106
Student26,Assign10,73
Student26,Assign11,103
Student26,Assign12,0
Student26,Assign13,0
Student27,Assign6,0
Student27,Assign7,0
Student27,Assign8,0
Student27,Assign9,0
Student27,Assign10,0
Student27,Assign11,84
Student27,Assign12,0
Student27,Assign13,0
Student28,Assign6,0
Student28,Assign7,13
Student28,Assign8,44
Student28,Assign9,126
Student28,Assign10,73
Student28,Assign11,104
Student28,Assign12,10
Student28,Assign13,0
Student29,Assign6,29
Student29,Assign7,0
Student29,Assign8,3
Student29,Assign9,0
Student29,Assign10,0
Student29,Assign11,0
Student29,Assign12,0
Student29,Assign13,0
Student30,Assign6,27
Student30,Assign7,19
Student30,Assign8,49
Student30,Assign9,106
Student30,Assign10,73
Student30,Assign11,101
Student30,Assign12,0
Student30,Assign13,0
Student31,Assign6,34
Student31,Assign7,14
Student31,Assign8,0
Student31,Assign9,0
Student31,Assign10,0
Student31,Assign11,0
Student31,Assign12,0
Student31,Assign13,0
Student32,Assign6,24
Student32,Assign7,15
Student32,Assign8,43
Student32,Assign9,101
Student32,Assign10,0
Student32,Assign11,93
Student32,Assign12,10
Student32,Assign13,0
Student33,Assign6,24
Student33,Assign7,20
Student33,Assign8,0
Student33,Assign9,0
Student33,Assign10,73
Student33,Assign11,111
Student33,Assign12,10
