StudentID,Mean_For_Key,Stdev_For_Key,Variance_For_Key,Min_For_Key,Max_For_Key,Median_For_Key
Student1,1.12,1.13,1.27,0,3,1.0
Student10,2.12,2.8,7.84,0,7,1.0
Student11,1.25,3.54,12.5,0,10,0.0
Student12,2.62,3.2,10.27,0,8,1.5
Student13,0.25,0.71,0.5,0,2,0.0
Student14,0.62,1.77,3.12,0,5,0.0
Student15,4.75,6.34,40.21,0,18,2.5
Student16,3.38,2.56,6.55,0,7,3.5
Student17,1.38,3.16,9.98,0,9,0.0
Student18,6.0,11.81,139.43,0,35,2.5
Student19,2.12,2.1,4.41,0,6,1.5
Student2,2.88,2.47,6.12,0,6,2.0
Student20,4.88,6.88,47.27,0,21,3.0
Student21,7.12,10.48,109.84,0,31,3.5
Student22,6.0,9.18,84.29,0,28,4.0
Student23,3.75,4.95,24.5,0,13,1.5
Student24,6.5,6.85,46.86,0,22,4.5
Student25,0.0,0.0,0.0,0,0,0.0
Student26,4.12,3.64,13.27,0,9,4.0
Student27,5.38,5.8,33.7,0,19,4.0
Student28,4.12,3.87,14.98,0,13,4.0
Student29,8.88,12.05,145.27,0,37,6.0
Student3,2.75,2.31,5.36,0,8,2.0
Student30,6.25,5.2,27.07,0,15,5.5
Student31,0.25,0.46,0.21,0,1,0.0
Student32,5.0,10.18,103.71,0,30,1.5
Student33,3.62,3.7,13.7,0,10,2.0
Student34,1.25,1.75,3.07,0,4,0.5
Student35,0.12,0.35,0.13,0,1,0.0
Student36,3.12,5.28,27.84,0,16,2.0
Student37,4.62,4.6,21.12,0,10,3.5
Student38,2.38,2.13,4.55,0,6,2.0
Student39,3.62,2.83,7.98,0,8,3.0
Student4,3.75,10.61,112.5,0,30,0.0
Student40,1.75,1.39,1.93,0,4,2.0
Student41,0.25,0.71,0.5,0,2,0.0
Student42,3.25,2.96,8.79,0,8,2.5
Student43,4.38,8.05,64.84,0,24,1.5
Student44,1.38,1.41,1.98,0,4,1.0
Student5,1.88,3.94,15.55,0,11,0.0
Student6,4.0,2.73,7.43,0,8,4.0
Student7,2.12,1.73,2.98,1,6,1.5
Student8,1.5,1.2,1.43,0,3,1.5
Student9,8.5,13.44,180.57,0,41,4.0
