,StudentID,AssignmentID,Keystrokes_Count
0,Student1,Assign6,7377
1,Student1,Assign7,4467
2,Student1,Assign8,6257
3,Student1,Assign9,3546
4,Student1,Assign10,279
5,Student1,Assign11,0
6,Student1,Assign12,3040
7,Student1,Assign13,3250
8,Student2,Assign6,4078
9,Student2,Assign7,6654
10,Student2,Assign8,7421
11,Student2,Assign9,585
12,Student2,Assign10,207
13,Student2,Assign11,1161
14,Student2,Assign12,732
15,Student2,Assign13,0
16,Student3,Assign6,8191
17,Student3,Assign7,9966
18,Student3,Assign8,10255
19,Student3,Assign9,10225
20,Student3,Assign10,325
21,Student3,Assign11,4730
22,Student3,Assign12,8755
23,Student3,Assign13,574
24,Student4,Assign6,24803
25,Student4,Assign7,0
26,Student4,Assign8,0
27,Student4,Assign9,0
28,Student4,Assign10,0
29,Student4,Assign11,0
30,Student4,Assign12,0
31,Student4,Assign13,0
32,Student5,Assign6,0
33,Student5,Assign7,431
34,Student5,Assign8,0
35,Student5,Assign9,0
36,Student5,Assign10,0
37,Student5,Assign11,0
38,Student5,Assign12,8475
39,Student5,Assign13,2066
40,Student6,Assign6,6043
41,Student6,Assign7,0
42,Student6,Assign8,6128
43,Student6,Assign9,4386
44,Student6,Assign10,4626
45,Student6,Assign11,5789
46,Student6,Assign12,3278
47,Student6,Assign13,1728
48,Student7,Assign6,13956
49,Student7,Assign7,9861
50,Student7,Assign8,7511
51,Student7,Assign9,5202
52,Student7,Assign10,264
53,Student7,Assign11,4232
54,Student7,Assign12,12244
55,Student7,Assign13,1694
56,Student8,Assign6,13832
57,Student8,Assign7,13206
58,Student8,Assign8,11391
59,Student8,Assign9,8247
60,Student8,Assign10,2628
61,Student8,Assign11,6768
62,Student8,Assign12,13123
63,Student8,Assign13,0
64,Student9,Assign6,14488
65,Student9,Assign7,22740
66,Student9,Assign8,10292
67,Student9,Assign9,27246
68,Student9,Assign10,481
69,Student9,Assign11,6491
70,Student9,Assign12,7527
71,Student9,Assign13,1003
72,Student10,Assign6,8413
73,Student10,Assign7,6947
74,Student10,Assign8,7274
75,Student10,Assign9,14305
76,Student10,Assign10,11164
77,Student10,Assign11,1292
78,Student10,Assign12,8374
79,Student10,Assign13,0
80,Student11,Assign6,16403
