,StudentID,AssignmentID,Count
0,Student1,Assign6,7377
1,Student1,Assign7,4467
2,Student1,Assign8,6257
3,Student1,Assign9,3546
4,Student1,Assign10,279
5,Student1,Assign12,3040
6,Student1,Assign13,3250
7,Student2,Assign6,4078
8,Student2,Assign7,6654
9,Student2,Assign8,7421
10,Student2,Assign9,585
11,Student2,Assign10,207
12,Student2,Assign11,1161
13,Student2,Assign12,732
14,Student3,Assign6,8191
15,Student3,Assign7,9966
16,Student3,Assign8,10255
17,Student3,Assign9,10225
18,Student3,Assign10,325
19,Student3,Assign11,4730
20,Student3,Assign12,8755
21,Student3,Assign13,574
22,Student4,Assign6,24803
23,Student5,Assign7,431
24,Student5,Assign12,8475
25,Student5,Assign13,2066
26,Student6,Assign6,6043
27,Student6,Assign8,6128
28,Student6,Assign9,4386
29,Student6,Assign10,4626
30,Student6,Assign11,5789
31,Student6,Assign12,3278
32,Student6,Assign13,1728
33,Student7,Assign6,13956
34,Student7,Assign7,9861
35,Student7,Assign8,7511
36,Student7,Assign9,5202
37,Student7,Assign10,264
38,Student7,Assign11,4232
39,Student7,Assign12,12244
40,Student7,Assign13,1694
41,Student8,Assign6,13832
42,Student8,Assign7,13206
43,Student8,Assign8,11391
44,Student8,Assign9,8247
45,Student8,Assign10,2628
46,Student8,Assign11,6768
47,Student8,Assign12,13123
48,Student9,Assign6,14488
49,Student9,Assign7,22740
50,Student9,Assign8,10292
51,Student9,Assign9,27246
52,Student9,Assign10,481
53,Student9,Assign11,6491
54,Student9,Assign12,7527
55,Student9,Assign13,1003
56,Student10,Assign6,8413
57,Student10,Assign7,6947
58,Student10,Assign8,7274
59,Student10,Assign9,14305
60,Student10,Assign10,11164
61,Student10,Assign11,1292
62,Student10,Assign12,8374
63,Student11,Assign6,16403
64,Student12,Assign6,17751
65,Student12,Assign7,23335
66,Student12,Assign9,7668
67,Student12,Assign10,2955
68,Student12,Assign12,14269
69,Student12,Assign13,1768
70,Student13,Assign6,7580
71,Student14,Assign6,3771
72,Student15,Assign6,14150
73,Student15,Assign7,8817
74,Student15,Assign8,7541
75,Student15,Assign9,6428
76,Student16,Assign6,12873
77,Student16,Assign7,9087
78,Student16,Assign8,8833
79,Student16,Assign9,11607
