,Student,Assignment,NumOfLongPauses
0,Student1,Assign6,2
1,Student2,Assign6,2
2,Student3,Assign6,1
3,Student4,Assign6,3
4,Student5,Assign6,0
5,Student6,Assign6,0
6,Student7,Assign6,6
7,Student8,Assign6,0
8,Student9,Assign6,2
9,Student10,Assign6,4
10,Student11,Assign6,0
11,Student12,Assign6,14
12,Student13,Assign6,3
13,Student14,Assign6,1
14,Student15,Assign6,7
15,Student16,Assign6,2
16,Student17,Assign6,0
17,Student18,Assign6,1
18,Student19,Assign6,0
19,Student20,Assign6,4
20,Student21,Assign6,5
21,Student22,Assign6,2
22,Student23,Assign6,6
23,Student24,Assign6,3
24,Student25,Assign6,2
25,Student26,Assign6,13
26,Student27,Assign6,7
27,Student28,Assign6,6
28,Student29,Assign6,7
29,Student30,Assign6,7
30,Student31,Assign6,2
31,Student32,Assign6,5
32,Student33,Assign6,1
33,Student34,Assign6,2
34,Student35,Assign6,4
35,Student36,Assign6,4
36,Student37,Assign6,1
37,Student38,Assign6,5
38,Student39,Assign6,3
39,Student40,Assign6,5
40,Student41,Assign6,2
41,Student42,Assign6,0
42,Student43,Assign6,5
43,Student44,Assign6,2
44,Student1,Assign7,3
45,Student2,Assign7,4
46,Student3,Assign7,2
47,Student4,Assign7,0
48,Student5,Assign7,0
49,Student6,Assign7,0
50,Student7,Assign7,1
51,Student8,Assign7,0
52,Student9,Assign7,3
53,Student10,Assign7,1
54,Student11,Assign7,0
55,Student12,Assign7,7
56,Student13,Assign7,0
57,Student14,Assign7,0
58,Student15,Assign7,6
59,Student16,Assign7,4
60,Student17,Assign7,0
61,Student18,Assign7,7
62,Student19,Assign7,1
63,Student20,Assign7,1
64,Student21,Assign7,2
65,Student22,Assign7,1
66,Student23,Assign7,3
67,Student24,Assign7,5
68,Student25,Assign7,0
69,Student26,Assign7,6
70,Student27,Assign7,7
71,Student28,Assign7,4
72,Student29,Assign7,0
73,Student30,Assign7,5
74,Student31,Assign7,1
75,Student32,Assign7,0
76,Student33,Assign7,6
77,Student34,Assign7,0
78,Student35,Assign7,0
79,Student36,Assign7,1
80,Student37,Assign7,0
81,Student38,Assign7,7
82,Student39,Assign7,7
83,Student40,Assign7,2
84,Student41,Assign7,0
85,Student42,Assign7,3
86,Student43,Assign7,9
87,Student44,Assign7,5
88,Student1,Assign8,3
89,Student2,Assign8,4
90,Student3,Assign8,1
91,Student4,Assign8,0
92,Student5,Assign8,0
93,Student6,Assign8,3
94,Student7,Assign8,1
95,Student8,Assign8,2
96,Student9,Assign8,5
97,Student10,Assign8,1
98,Student11,Assign8,0
99,Student12,Assign8,0
100,Student13,Assign8,0
101,Student14,Assign8,0
102,Student15,Assign8,3
103,Student16,Assign8,2
104,Student17,Assign8,2
105,Student18,Assign8,3
106,Student19,Assign8,0
107,Student20,Assign8,1
108,Student21,Assign8,9
109,Student22,Assign8,2
110,Student23,Assign8,5
111,Student24,Assign8,2
112,Student25,Assign8,0
113,Student26,Assign8,9
114,Student27,Assign8,6
115,Student28,Assign8,4
116,Student29,Assign8,12
117,Student30,Assign8,6
118,Student31,Assign8,0
119,Student32,Assign8,1
120,Student33,Assign8,2
121,Student34,Assign8,2
122,Student35,Assign8,0
123,Student36,Assign8,2
124,Student37,Assign8,1
125,Student38,Assign8,2
126,Student39,Assign8,1
127,Student40,Assign8,2
128,Student41,Assign8,0
129,Student42,Assign8,2
130,Student43,Assign8,6
131,Student44,Assign8,2
132,Student1,Assign9,8
133,Student2,Assign9,0
134,Student3,Assign9,3
135,Student4,Assign9,0
136,Student5,Assign9,0
137,Student6,Assign9,1
138,Student7,Assign9,2
139,Student8,Assign9,8
140,Student9,Assign9,5
141,Student10,Assign9,2
142,Student11,Assign9,0
143,Student12,Assign9,6
144,Student13,Assign9,0
145,Student14,Assign9,0
146,Student15,Assign9,7
147,Student16,Assign9,4
148,Student17,Assign9,0
149,Student18,Assign9,7
150,Student19,Assign9,0
151,Student20,Assign9,0
152,Student21,Assign9,5
153,Student22,Assign9,3
154,Student23,Assign9,7
155,Student24,Assign9,2
156,Student25,Assign9,0
157,Student26,Assign9,17
158,Student27,Assign9,7
159,Student28,Assign9,8
160,Student29,Assign9,0
161,Student30,Assign9,9
162,Student31,Assign9,0
163,Student32,Assign9,2
164,Student33,Assign9,11
165,Student34,Assign9,3
166,Student35,Assign9,0
167,Student36,Assign9,4
168,Student37,Assign9,0
169,Student38,Assign9,3
170,Student39,Assign9,1
171,Student40,Assign9,4
172,Student41,Assign9,0
173,Student42,Assign9,4
174,Student43,Assign9,11
175,Student44,Assign9,3
176,Student1,Assign10,3
177,Student2,Assign10,0
178,Student3,Assign10,7
179,Student4,Assign10,0
180,Student5,Assign10,0
181,Student6,Assign10,4
182,Student7,Assign10,2
183,Student8,Assign10,6
184,Student9,Assign10,5
185,Student10,Assign10,2
186,Student11,Assign10,0
187,Student12,Assign10,8
188,Student13,Assign10,0
189,Student14,Assign10,0
190,Student15,Assign10,0
191,Student16,Assign10,5
192,Student17,Assign10,0
193,Student18,Assign10,6
194,Student19,Assign10,3
195,Student20,Assign10,0
196,Student21,Assign10,9
197,Student22,Assign10,3
198,Student23,Assign10,0
199,Student24,Assign10,3
200,Student25,Assign10,0
201,Student26,Assign10,12
202,Student27,Assign10,4
203,Student28,Assign10,5
204,Student29,Assign10,0
205,Student30,Assign10,7
206,Student31,Assign10,0
207,Student32,Assign10,2
208,Student33,Assign10,8
209,Student34,Assign10,7
210,Student35,Assign10,0
211,Student36,Assign10,4
212,Student37,Assign10,0
213,Student38,Assign10,4
214,Student39,Assign10,2
215,Student40,Assign10,5
216,Student41,Assign10,0
217,Student42,Assign10,4
218,Student43,Assign10,5
219,Student44,Assign10,6
220,Student1,Assign11,0
221,Student2,Assign11,0
222,Student3,Assign11,3
223,Student4,Assign11,0
224,Student5,Assign11,0
225,Student6,Assign11,3
226,Student7,Assign11,4
227,Student8,Assign11,3
228,Student9,Assign11,13
229,Student10,Assign11,3
230,Student11,Assign11,0
231,Student12,Assign11,0
232,Student13,Assign11,0
233,Student14,Assign11,0
234,Student15,Assign11,0
235,Student16,Assign11,5
236,Student17,Assign11,0
237,Student18,Assign11,6
238,Student19,Assign11,1
239,Student20,Assign11,0
240,Student21,Assign11,0
241,Student22,Assign11,2
242,Student23,Assign11,4
243,Student24,Assign11,3
244,Student25,Assign11,0
245,Student26,Assign11,16
246,Student27,Assign11,2
247,Student28,Assign11,7
248,Student29,Assign11,12
249,Student30,Assign11,3
250,Student31,Assign11,0
251,Student32,Assign11,3
252,Student33,Assign11,0
253,Student34,Assign11,5
254,Student35,Assign11,0
255,Student36,Assign11,4
256,Student37,Assign11,2
257,Student38,Assign11,7
258,Student39,Assign11,3
259,Student40,Assign11,5
260,Student41,Assign11,0
261,Student42,Assign11,2
262,Student43,Assign11,6
263,Student44,Assign11,8
264,Student1,Assign12,1
265,Student2,Assign12,1
266,Student3,Assign12,3
267,Student4,Assign12,0
268,Student5,Assign12,3
269,Student6,Assign12,4
270,Student7,Assign12,2
271,Student8,Assign12,3
272,Student9,Assign12,4
273,Student10,Assign12,2
274,Student11,Assign12,0
275,Student12,Assign12,18
276,Student13,Assign12,0
277,Student14,Assign12,0
278,Student15,Assign12,0
279,Student16,Assign12,3
280,Student17,Assign12,0
281,Student18,Assign12,0
282,Student19,Assign12,0
283,Student20,Assign12,0
284,Student21,Assign12,8
285,Student22,Assign12,0
286,Student23,Assign12,5
287,Student24,Assign12,4
288,Student25,Assign12,0
289,Student26,Assign12,11
290,Student27,Assign12,0
291,Student28,Assign12,9
292,Student29,Assign12,3
293,Student30,Assign12,0
294,Student31,Assign12,0
295,Student32,Assign12,3
296,Student33,Assign12,6
297,Student34,Assign12,1
298,Student35,Assign12,0
299,Student36,Assign12,2
300,Student37,Assign12,0
301,Student38,Assign12,0
302,Student39,Assign12,3
303,Student40,Assign12,5
304,Student41,Assign12,0
305,Student42,Assign12,3
306,Student43,Assign12,3
307,Student44,Assign12,0
308,Student1,Assign13,5
309,Student2,Assign13,0
310,Student3,Assign13,1
311,Student4,Assign13,0
312,Student5,Assign13,3
313,Student6,Assign13,0
314,Student7,Assign13,2
315,Student8,Assign13,0
316,Student9,Assign13,3
317,Student10,Assign13,0
318,Student11,Assign13,0
319,Student12,Assign13,6
320,Student13,Assign13,0
321,Student14,Assign13,0
322,Student15,Assign13,0
323,Student16,Assign13,6
324,Student17,Assign13,0
325,Student18,Assign13,0
326,Student19,Assign13,1
327,Student20,Assign13,0
328,Student21,Assign13,5
329,Student22,Assign13,0
330,Student23,Assign13,0
331,Student24,Assign13,4
332,Student25,Assign13,0
333,Student26,Assign13,4
334,Student27,Assign13,5
335,Student28,Assign13,3
336,Student29,Assign13,6
337,Student30,Assign13,0
338,Student31,Assign13,0
339,Student32,Assign13,0
340,Student33,Assign13,0
341,Student34,Assign13,0
342,Student35,Assign13,0
343,Student36,Assign13,1
344,Student37,Assign13,1
345,Student38,Assign13,7
346,Student39,Assign13,11
347,Student40,Assign13,0
348,Student41,Assign13,0
349,Student42,Assign13,5
350,Student43,Assign13,1
351,Student44,Assign13,0
