,Student,Assignment,NumOfMediumPauses
0,Student1,Assign6,45
1,Student2,Assign6,34
2,Student3,Assign6,40
3,Student4,Assign6,88
4,Student5,Assign6,0
5,Student6,Assign6,31
6,Student7,Assign6,42
7,Student8,Assign6,25
8,Student9,Assign6,60
9,Student10,Assign6,33
10,Student11,Assign6,32
11,Student12,Assign6,186
12,Student13,Assign6,59
13,Student14,Assign6,13
14,Student15,Assign6,80
15,Student16,Assign6,40
16,Student17,Assign6,0
17,Student18,Assign6,18
18,Student19,Assign6,35
19,Student20,Assign6,49
20,Student21,Assign6,77
21,Student22,Assign6,47
22,Student23,Assign6,104
23,Student24,Assign6,88
24,Student25,Assign6,24
25,Student26,Assign6,153
26,Student27,Assign6,72
27,Student28,Assign6,76
28,Student29,Assign6,92
29,Student30,Assign6,82
30,Student31,Assign6,22
31,Student32,Assign6,36
32,Student33,Assign6,84
33,Student34,Assign6,43
34,Student35,Assign6,20
35,Student36,Assign6,84
36,Student37,Assign6,48
37,Student38,Assign6,63
38,Student39,Assign6,70
39,Student40,Assign6,56
40,Student41,Assign6,47
41,Student42,Assign6,56
42,Student43,Assign6,74
43,Student44,Assign6,58
44,Student1,Assign7,35
45,Student2,Assign7,52
46,Student3,Assign7,55
47,Student4,Assign7,0
48,Student5,Assign7,0
49,Student6,Assign7,0
50,Student7,Assign7,19
51,Student8,Assign7,33
52,Student9,Assign7,88
53,Student10,Assign7,36
54,Student11,Assign7,0
55,Student12,Assign7,147
56,Student13,Assign7,0
57,Student14,Assign7,0
58,Student15,Assign7,46
59,Student16,Assign7,63
60,Student17,Assign7,30
61,Student18,Assign7,78
62,Student19,Assign7,25
63,Student20,Assign7,85
64,Student21,Assign7,82
65,Student22,Assign7,34
66,Student23,Assign7,57
67,Student24,Assign7,85
68,Student25,Assign7,0
69,Student26,Assign7,175
70,Student27,Assign7,86
71,Student28,Assign7,48
72,Student29,Assign7,0
73,Student30,Assign7,108
74,Student31,Assign7,25
75,Student32,Assign7,62
76,Student33,Assign7,51
77,Student34,Assign7,46
78,Student35,Assign7,0
79,Student36,Assign7,106
80,Student37,Assign7,19
81,Student38,Assign7,92
82,Student39,Assign7,87
83,Student40,Assign7,44
84,Student41,Assign7,0
85,Student42,Assign7,23
86,Student43,Assign7,109
87,Student44,Assign7,100
88,Student1,Assign8,22
89,Student2,Assign8,23
90,Student3,Assign8,18
91,Student4,Assign8,0
92,Student5,Assign8,0
93,Student6,Assign8,40
94,Student7,Assign8,26
95,Student8,Assign8,23
96,Student9,Assign8,81
97,Student10,Assign8,26
98,Student11,Assign8,0
99,Student12,Assign8,0
100,Student13,Assign8,0
101,Student14,Assign8,0
102,Student15,Assign8,38
103,Student16,Assign8,49
104,Student17,Assign8,47
105,Student18,Assign8,23
106,Student19,Assign8,33
107,Student20,Assign8,16
108,Student21,Assign8,87
109,Student22,Assign8,21
110,Student23,Assign8,105
111,Student24,Assign8,55
112,Student25,Assign8,0
113,Student26,Assign8,66
114,Student27,Assign8,105
115,Student28,Assign8,67
116,Student29,Assign8,132
117,Student30,Assign8,113
118,Student31,Assign8,0
119,Student32,Assign8,52
120,Student33,Assign8,46
121,Student34,Assign8,47
122,Student35,Assign8,0
123,Student36,Assign8,64
124,Student37,Assign8,10
125,Student38,Assign8,71
126,Student39,Assign8,97
127,Student40,Assign8,30
128,Student41,Assign8,0
129,Student42,Assign8,38
130,Student43,Assign8,85
131,Student44,Assign8,54
132,Student1,Assign9,45
133,Student2,Assign9,6
134,Student3,Assign9,78
135,Student4,Assign9,0
136,Student5,Assign9,0
137,Student6,Assign9,30
138,Student7,Assign9,20
139,Student8,Assign9,94
140,Student9,Assign9,116
141,Student10,Assign9,51
142,Student11,Assign9,0
143,Student12,Assign9,69
144,Student13,Assign9,0
145,Student14,Assign9,0
146,Student15,Assign9,90
147,Student16,Assign9,57
148,Student17,Assign9,0
149,Student18,Assign9,60
150,Student19,Assign9,0
151,Student20,Assign9,30
152,Student21,Assign9,72
153,Student22,Assign9,67
154,Student23,Assign9,73
155,Student24,Assign9,40
156,Student25,Assign9,0
157,Student26,Assign9,256
158,Student27,Assign9,65
159,Student28,Assign9,71
160,Student29,Assign9,0
161,Student30,Assign9,101
162,Student31,Assign9,0
163,Student32,Assign9,35
164,Student33,Assign9,80
165,Student34,Assign9,54
166,Student35,Assign9,0
167,Student36,Assign9,144
168,Student37,Assign9,60
169,Student38,Assign9,49
170,Student39,Assign9,99
171,Student40,Assign9,48
172,Student41,Assign9,0
173,Student42,Assign9,100
174,Student43,Assign9,66
175,Student44,Assign9,27
176,Student1,Assign10,30
177,Student2,Assign10,2
178,Student3,Assign10,47
179,Student4,Assign10,0
180,Student5,Assign10,0
181,Student6,Assign10,42
182,Student7,Assign10,25
183,Student8,Assign10,32
184,Student9,Assign10,63
185,Student10,Assign10,48
186,Student11,Assign10,0
187,Student12,Assign10,70
188,Student13,Assign10,0
189,Student14,Assign10,0
190,Student15,Assign10,0
191,Student16,Assign10,33
192,Student17,Assign10,0
193,Student18,Assign10,75
194,Student19,Assign10,67
195,Student20,Assign10,19
196,Student21,Assign10,58
197,Student22,Assign10,55
198,Student23,Assign10,0
199,Student24,Assign10,32
200,Student25,Assign10,0
201,Student26,Assign10,85
202,Student27,Assign10,37
203,Student28,Assign10,43
204,Student29,Assign10,4
205,Student30,Assign10,120
206,Student31,Assign10,0
207,Student32,Assign10,7
208,Student33,Assign10,71
209,Student34,Assign10,30
210,Student35,Assign10,0
211,Student36,Assign10,88
212,Student37,Assign10,17
213,Student38,Assign10,27
214,Student39,Assign10,44
215,Student40,Assign10,50
216,Student41,Assign10,0
217,Student42,Assign10,78
218,Student43,Assign10,58
219,Student44,Assign10,74
220,Student1,Assign11,0
221,Student2,Assign11,15
222,Student3,Assign11,62
223,Student4,Assign11,0
224,Student5,Assign11,0
225,Student6,Assign11,38
226,Student7,Assign11,31
227,Student8,Assign11,38
228,Student9,Assign11,65
229,Student10,Assign11,34
230,Student11,Assign11,0
231,Student12,Assign11,0
232,Student13,Assign11,0
233,Student14,Assign11,0
234,Student15,Assign11,0
235,Student16,Assign11,73
236,Student17,Assign11,0
237,Student18,Assign11,90
238,Student19,Assign11,30
239,Student20,Assign11,9
240,Student21,Assign11,0
241,Student22,Assign11,56
242,Student23,Assign11,45
243,Student24,Assign11,48
244,Student25,Assign11,0
245,Student26,Assign11,90
246,Student27,Assign11,44
247,Student28,Assign11,55
248,Student29,Assign11,65
249,Student30,Assign11,75
250,Student31,Assign11,0
251,Student32,Assign11,16
252,Student33,Assign11,70
253,Student34,Assign11,42
254,Student35,Assign11,0
255,Student36,Assign11,64
256,Student37,Assign11,20
257,Student38,Assign11,64
258,Student39,Assign11,90
259,Student40,Assign11,44
260,Student41,Assign11,0
261,Student42,Assign11,76
262,Student43,Assign11,66
263,Student44,Assign11,82
264,Student1,Assign12,10
265,Student2,Assign12,12
266,Student3,Assign12,37
267,Student4,Assign12,0
268,Student5,Assign12,61
269,Student6,Assign12,22
270,Student7,Assign12,31
271,Student8,Assign12,53
272,Student9,Assign12,75
273,Student10,Assign12,37
274,Student11,Assign12,0
275,Student12,Assign12,116
276,Student13,Assign12,0
277,Student14,Assign12,0
278,Student15,Assign12,0
279,Student16,Assign12,64
280,Student17,Assign12,0
281,Student18,Assign12,3
282,Student19,Assign12,33
283,Student20,Assign12,1
284,Student21,Assign12,121
285,Student22,Assign12,6
286,Student23,Assign12,56
287,Student24,Assign12,72
288,Student25,Assign12,0
289,Student26,Assign12,115
290,Student27,Assign12,13
291,Student28,Assign12,87
292,Student29,Assign12,70
293,Student30,Assign12,100
294,Student31,Assign12,0
295,Student32,Assign12,8
