,Student,Assignment,NumOfShortPauses
0,Student1,Assign6,6961
1,Student2,Assign6,3342
2,Student3,Assign6,7760
3,Student4,Assign6,21921
4,Student5,Assign6,0
5,Student6,Assign6,3912
6,Student7,Assign6,11848
7,Student8,Assign6,11383
8,Student9,Assign6,13208
9,Student10,Assign6,7977
10,Student11,Assign6,16098
11,Student12,Assign6,16004
12,Student13,Assign6,6754
13,Student14,Assign6,3606
14,Student15,Assign6,11558
15,Student16,Assign6,10315
16,Student17,Assign6,6
17,Student18,Assign6,4862
18,Student19,Assign6,6237
19,Student20,Assign6,7605
20,Student21,Assign6,13245
21,Student22,Assign6,23303
22,Student23,Assign6,15524
23,Student24,Assign6,20604
24,Student25,Assign6,1925
25,Student26,Assign6,19352
26,Student27,Assign6,9395
27,Student28,Assign6,9920
28,Student29,Assign6,13679
29,Student30,Assign6,18947
30,Student31,Assign6,6163
31,Student32,Assign6,12994
32,Student33,Assign6,8304
33,Student34,Assign6,5500
34,Student35,Assign6,7515
35,Student36,Assign6,11666
36,Student37,Assign6,12432
37,Student38,Assign6,14470
38,Student39,Assign6,17680
39,Student40,Assign6,16139
40,Student41,Assign6,6378
41,Student42,Assign6,11963
42,Student43,Assign6,11309
43,Student44,Assign6,7701
44,Student1,Assign7,4239
45,Student2,Assign7,6160
46,Student3,Assign7,9478
47,Student4,Assign7,0
48,Student5,Assign7,428
49,Student6,Assign7,0
50,Student7,Assign7,8415
51,Student8,Assign7,10902
52,Student9,Assign7,19235
53,Student10,Assign7,6818
54,Student11,Assign7,0
55,Student12,Assign7,21583
56,Student13,Assign7,0
57,Student14,Assign7,0
58,Student15,Assign7,7566
59,Student16,Assign7,7577
60,Student17,Assign7,2481
61,Student18,Assign7,6134
62,Student19,Assign7,5644
63,Student20,Assign7,11891
64,Student21,Assign7,9464
65,Student22,Assign7,13836
66,Student23,Assign7,7740
67,Student24,Assign7,14236
68,Student25,Assign7,0
69,Student26,Assign7,27359
70,Student27,Assign7,11431
71,Student28,Assign7,6865
72,Student29,Assign7,0
73,Student30,Assign7,17438
74,Student31,Assign7,4395
75,Student32,Assign7,11373
76,Student33,Assign7,2128
77,Student34,Assign7,5788
78,Student35,Assign7,0
79,Student36,Assign7,16593
80,Student37,Assign7,6100
81,Student38,Assign7,16916
82,Student39,Assign7,13076
83,Student40,Assign7,12113
84,Student41,Assign7,0
85,Student42,Assign7,3424
86,Student43,Assign7,13129
87,Student44,Assign7,8904
88,Student1,Assign8,5842
89,Student2,Assign8,5732
90,Student3,Assign8,9978
91,Student4,Assign8,0
92,Student5,Assign8,0
93,Student6,Assign8,3772
94,Student7,Assign8,6720
95,Student8,Assign8,9802
96,Student9,Assign8,9669
97,Student10,Assign8,6747
98,Student11,Assign8,0
99,Student12,Assign8,0
100,Student13,Assign8,0
101,Student14,Assign8,0
102,Student15,Assign8,5473
103,Student16,Assign8,8111
104,Student17,Assign8,4959
105,Student18,Assign8,370
106,Student19,Assign8,7680
107,Student20,Assign8,1822
108,Student21,Assign8,9551
109,Student22,Assign8,9210
110,Student23,Assign8,10623
111,Student24,Assign8,9941
112,Student25,Assign8,0
113,Student26,Assign8,9722
114,Student27,Assign8,10208
115,Student28,Assign8,6536
116,Student29,Assign8,15670
117,Student30,Assign8,8394
118,Student31,Assign8,0
119,Student32,Assign8,6020
120,Student33,Assign8,4686
121,Student34,Assign8,5951
122,Student35,Assign8,0
123,Student36,Assign8,8949
