,Unnamed: 0,Student,Assignment,NumOfShortPauses
249,249,Student1,Assign7,4239
250,250,Student1,Assign8,5842
251,251,Student1,Assign9,3407
252,252,Student1,Assign10,241
253,253,Student1,Assign11,0
254,254,Student1,Assign12,2914
255,255,Student1,Assign13,3101
248,248,Student1,Assign6,6961
278,278,Student2,Assign12,549
277,277,Student2,Assign11,852
276,276,Student2,Assign10,181
279,279,Student2,Assign13,0
274,274,Student2,Assign8,5732
273,273,Student2,Assign7,6160
272,272,Student2,Assign6,3342
275,275,Student2,Assign9,502
155,155,Student3,Assign9,9915
153,153,Student3,Assign7,9478
154,154,Student3,Assign8,9978
156,156,Student3,Assign10,244
157,157,Student3,Assign11,4588
158,158,Student3,Assign12,8025
159,159,Student3,Assign13,553
152,152,Student3,Assign6,7760
266,266,Student4,Assign8,0
268,268,Student4,Assign10,0
271,271,Student4,Assign13,0
270,270,Student4,Assign12,0
269,269,Student4,Assign11,0
264,264,Student4,Assign6,21921
265,265,Student4,Assign7,0
267,267,Student4,Assign9,0
302,302,Student5,Assign12,7559
297,297,Student5,Assign7,428
296,296,Student5,Assign6,0
303,303,Student5,Assign13,1660
299,299,Student5,Assign9,0
300,300,Student5,Assign10,0
298,298,Student5,Assign8,0
301,301,Student5,Assign11,0
243,243,Student6,Assign9,4017
242,242,Student6,Assign8,3772
241,241,Student6,Assign7,0
246,246,Student6,Assign12,3195
240,240,Student6,Assign6,3912
244,244,Student6,Assign10,4232
245,245,Student6,Assign11,5354
247,247,Student6,Assign13,1719
141,141,Student7,Assign11,3705
137,137,Student7,Assign7,8415
140,140,Student7,Assign10,224
142,142,Student7,Assign12,10138
139,139,Student7,Assign9,4862
138,138,Student7,Assign8,6720
136,136,Student7,Assign6,11848
143,143,Student7,Assign13,1561
64,64,Student8,Assign6,11383
66,66,Student8,Assign8,9802
69,69,Student8,Assign11,6205
71,71,Student8,Assign13,0
67,67,Student8,Assign9,7562
68,68,Student8,Assign10,2360
65,65,Student8,Assign7,10902
70,70,Student8,Assign12,12039
30,30,Student9,Assign12,6824
31,31,Student9,Assign13,904
24,24,Student9,Assign6,13208
26,26,Student9,Assign8,9669
27,27,Student9,Assign9,25792
28,28,Student9,Assign10,387
29,29,Student9,Assign11,5867
25,25,Student9,Assign7,19235
119,119,Student10,Assign13,0
118,118,Student10,Assign12,7930
117,117,Student10,Assign11,1100
113,113,Student10,Assign7,6818
116,116,Student10,Assign10,10840
114,114,Student10,Assign8,6747
115,115,Student10,Assign9,13442
112,112,Student10,Assign6,7977
286,286,Student11,Assign12,0
285,285,Student11,Assign11,0
281,281,Student11,Assign7,0
283,283,Student11,Assign9,0
280,280,Student11,Assign6,16098
287,287,Student11,Assign13,0
282,282,Student11,Assign8,0
284,284,Student11,Assign10,0
95,95,Student12,Assign13,1572
94,94,Student12,Assign12,12520
89,89,Student12,Assign7,21583
90,90,Student12,Assign8,0
88,88,Student12,Assign6,16004
92,92,Student12,Assign10,2767
93,93,Student12,Assign11,0
91,91,Student12,Assign9,5739
325,325,Student13,Assign11,0
321,321,Student13,Assign7,0
326,326,Student13,Assign12,0
320,320,Student13,Assign6,6754
323,323,Student13,Assign9,0
322,322,Student13,Assign8,0
324,324,Student13,Assign10,0
327,327,Student13,Assign13,0
339,339,Student14,Assign9,0
338,338,Student14,Assign8,0
342,342,Student14,Assign12,0
341,341,Student14,Assign11,0
340,340,Student14,Assign10,0
336,336,Student14,Assign6,3606
343,343,Student14,Assign13,0
337,337,Student14,Assign7,0
215,215,Student15,Assign13,0
209,209,Student15,Assign7,7566
214,214,Student15,Assign12,0
213,213,Student15,Assign11,0
212,212,Student15,Assign10,0
211,211,Student15,Assign9,5636
210,210,Student15,Assign8,5473
208,208,Student15,Assign6,11558
61,61,Student16,Assign11,6406
60,60,Student16,Assign10,3163
57,57,Student16,Assign7,7577
63,63,Student16,Assign13,6440
59,59,Student16,Assign9,10055
62,62,Student16,Assign12,13961
58,58,Student16,Assign8,8111
56,56,Student16,Assign6,10315
312,312,Student17,Assign6,6
318,318,Student17,Assign12,0
314,314,Student17,Assign8,4959
313,313,Student17,Assign7,2481
319,319,Student17,Assign13,0
315,315,Student17,Assign9,0
316,316,Student17,Assign10,0
317,317,Student17,Assign11,0
258,258,Student18,Assign8,370
256,256,Student18,Assign6,4862
257,257,Student18,Assign7,6134
263,263,Student18,Assign13,82
260,260,Student18,Assign10,333
261,261,Student18,Assign11,6362
262,262,Student18,Assign12,288
259,259,Student18,Assign9,4578
197,197,Student19,Assign11,2325
192,192,Student19,Assign6,6237
198,198,Student19,Assign12,7426
196,196,Student19,Assign10,5060
194,194,Student19,Assign8,7680
195,195,Student19,Assign9,0
199,199,Student19,Assign13,383
193,193,Student19,Assign7,5644
239,239,Student20,Assign13,0
232,232,Student20,Assign6,7605
233,233,Student20,Assign7,11891
234,234,Student20,Assign8,1822
235,235,Student20,Assign9,2491
236,236,Student20,Assign10,190
237,237,Student20,Assign11,162
