,Student,Assignment,Semicolon_Keys
0,Student1,Assign6,0
1,Student1,Assign7,0
2,Student1,Assign8,1
3,Student1,Assign9,0
4,Student1,Assign10,0
5,Student1,Assign11,0
6,Student1,Assign12,1
7,Student1,Assign13,0
8,Student2,Assign6,0
9,Student2,Assign7,1
10,Student2,Assign8,0
11,Student2,Assign9,0
12,Student2,Assign10,0
13,Student2,Assign11,0
14,Student2,Assign12,0
15,Student2,Assign13,0
16,Student3,Assign6,0
17,Student3,Assign7,3
18,Student3,Assign8,2
19,Student3,Assign9,1
20,Student3,Assign10,0
21,Student3,Assign11,0
22,Student3,Assign12,0
23,Student3,Assign13,0
24,Student4,Assign6,1
25,Student4,Assign7,0
26,Student4,Assign8,0
27,Student4,Assign9,0
28,Student4,Assign10,0
29,Student4,Assign11,0
30,Student4,Assign12,0
31,Student4,Assign13,0
32,Student5,Assign6,0
33,Student5,Assign7,0
34,Student5,Assign8,0
35,Student5,Assign9,0
36,Student5,Assign10,0
37,Student5,Assign11,0
38,Student5,Assign12,0
39,Student5,Assign13,0
40,Student6,Assign6,0
41,Student6,Assign7,0
42,Student6,Assign8,2
43,Student6,Assign9,0
44,Student6,Assign10,0
45,Student6,Assign11,0
46,Student6,Assign12,0
47,Student6,Assign13,0
48,Student7,Assign6,0
49,Student7,Assign7,0
50,Student7,Assign8,1
51,Student7,Assign9,0
52,Student7,Assign10,0
53,Student7,Assign11,0
54,Student7,Assign12,0
55,Student7,Assign13,0
56,Student8,Assign6,0
57,Student8,Assign7,0
58,Student8,Assign8,0
59,Student8,Assign9,0
60,Student8,Assign10,0
61,Student8,Assign11,1
62,Student8,Assign12,0
63,Student8,Assign13,0
64,Student9,Assign6,2
65,Student9,Assign7,1
66,Student9,Assign8,8
67,Student9,Assign9,2
68,Student9,Assign10,0
69,Student9,Assign11,0
70,Student9,Assign12,1
71,Student9,Assign13,0
72,Student10,Assign6,0
73,Student10,Assign7,0
74,Student10,Assign8,0
75,Student10,Assign9,0
76,Student10,Assign10,1
77,Student10,Assign11,0
78,Student10,Assign12,0
79,Student10,Assign13,0
80,Student11,Assign6,0
81,Student11,Assign7,0
82,Student11,Assign8,0
83,Student11,Assign9,0
84,Student11,Assign10,0
85,Student11,Assign11,0
86,Student11,Assign12,0
87,Student11,Assign13,0
88,Student12,Assign6,1
89,Student12,Assign7,2
90,Student12,Assign8,0
91,Student12,Assign9,0
92,Student12,Assign10,1
93,Student12,Assign11,0
94,Student12,Assign12,0
95,Student12,Assign13,0
96,Student13,Assign6,2
97,Student13,Assign7,0
98,Student13,Assign8,0
99,Student13,Assign9,0
100,Student13,Assign10,0
101,Student13,Assign11,0
102,Student13,Assign12,0
103,Student13,Assign13,0
104,Student14,Assign6,0
105,Student14,Assign7,0
106,Student14,Assign8,0
107,Student14,Assign9,0
108,Student14,Assign10,0
109,Student14,Assign11,0
110,Student14,Assign12,0
111,Student14,Assign13,0
112,Student15,Assign6,2
113,Student15,Assign7,0
114,Student15,Assign8,2
115,Student15,Assign9,0
116,Student15,Assign10,0
117,Student15,Assign11,0
118,Student15,Assign12,0
119,Student15,Assign13,0
120,Student16,Assign6,1
121,Student16,Assign7,0
122,Student16,Assign8,0
123,Student16,Assign9,0
124,Student16,Assign10,2
125,Student16,Assign11,0
126,Student16,Assign12,1
