StudentID,Mean_While_Key,Stdev_While_Key,Variance_While_Key,Min_While_Key,Max_While_Key,Median_While_Key
Student1,0.75,1.04,1.07,0,3,0.5
Student10,1.25,1.98,3.93,0,6,1.0
Student11,0.25,0.71,0.5,0,2,0.0
Student12,1.5,2.0,4.0,0,5,0.5
Student13,0.0,0.0,0.0,0,0,0.0
Student14,0.0,0.0,0.0,0,0,0.0
Student15,1.25,1.58,2.5,0,4,0.5
Student16,1.25,1.16,1.36,0,3,1.0
Student17,0.88,2.1,4.41,0,6,0.0
Student18,1.12,0.83,0.7,0,2,1.0
Student19,0.75,0.71,0.5,0,2,1.0
Student2,1.0,1.07,1.14,0,3,1.0
Student20,1.12,0.99,0.98,0,2,1.5
Student21,1.88,3.04,9.27,0,9,1.0
Student22,1.5,1.6,2.57,0,5,1.0
Student23,0.62,0.74,0.55,0,2,0.5
Student24,1.62,1.51,2.27,0,5,1.0
Student25,0.0,0.0,0.0,0,0,0.0
Student26,4.75,5.52,30.5,0,17,3.0
Student27,1.88,1.25,1.55,0,4,2.0
Student28,3.25,5.01,25.07,0,15,1.0
Student29,5.38,9.01,81.13,0,27,2.0
Student3,1.88,1.89,3.55,0,6,1.0
Student30,2.38,3.16,9.98,0,9,1.0
Student31,0.0,0.0,0.0,0,0,0.0
Student32,1.0,1.07,1.14,0,3,1.0
Student33,1.75,2.05,4.21,0,5,1.0
Student34,1.0,1.07,1.14,0,3,1.0
Student35,0.0,0.0,0.0,0,0,0.0
Student36,1.12,0.64,0.41,0,2,1.0
Student37,1.5,1.69,2.86,0,5,1.0
Student38,1.0,0.76,0.57,0,2,1.0
Student39,2.5,1.93,3.71,0,6,2.5
Student4,3.0,8.49,72.0,0,24,0.0
Student40,1.12,1.13,1.27,0,3,1.0
Student41,0.12,0.35,0.13,0,1,0.0
Student42,1.12,0.64,0.41,0,2,1.0
Student43,1.38,1.19,1.41,0,4,1.0
Student44,0.25,0.46,0.21,0,1,0.0
Student5,0.88,1.81,3.27,0,5,0.0
Student6,1.38,1.06,1.13,0,3,1.5
Student7,1.0,0.76,0.57,0,2,1.0
Student8,0.88,0.99,0.98,0,3,1.0
Student9,2.88,3.6,12.98,0,11,1.5
